;links;titulo;instituicao;data_ini;valor_bolsa;descr_detalhada
11;https://erefdn.org/rapid-and-cost-effective-approach-to-evaluate-the-effectiveness-of-wastewater-and-treatment-byproduct-solidification-and-stabilization/;Rapid and Cost-Effective Approach to Evaluate the Effectiveness of Wastewater and Treatment Byproduct Solidification and Stabilization;University of Texas at Austin, Texas A&M University & EPRI;Mar 2019;185000;"Disposal of residual industrial waste streams and treatment byproducts (WTBs) presents many challenges for approaching zero liquid discharge. Solidification/stabilization (S/S) using combinations of additives such as lime, portland cement, and coal combustion residuals (e.g. fly ash) can provide a final disposal option. The solidified waste can be landfilled, where encapsulation of the contaminants prevents leaching into landfill leachate collection systems and ground water. Successful mixture designs will likely depend on the composition, pH, and contaminants of concern in the liquid wastes, and a strategy for S/S of wastewater across industries is needed. Further, the success of a S/S strategy to prevent leaching of contaminants is often approached using methods that do not effectively evaluate the chemical stability of solidified materials, especially when several S/S methods are to be compared, which hinders the progress of new developments in material designs.
The overall goal of this project is to develop streamlined processes for solidifying brines and testing the solidified materials that are rapid, cost-effective, relevant, accessible and user-friendly for industry researchers. The objectives are:
To develop a method to efficiently design mixtures to solidify industrial wastewater and leachates using additives (fly ash, lime, portland cement).
To develop and test a better method for leaching assessment of monolithic specimens that also captures hydraulic conductivity (permeability), a crucial encapsulation physical property."
12;https://erefdn.org/msw-combustion-ash-co-disposal-with-unburned-waste-implications-for-elevated-temperature-landfills/;MSW Combustion Ash Co-Disposal with Unburned Waste: Implications for Elevated Temperature Landfills;University of Central Florida;December 1, 2018;140000;"The proposed program addresses the co-disposal of municipal solid waste (MSW) ash with unburned MSW, and the potential exothermic reactions that can lead to elevated landfill temperature. The overall objective of the proposed program is to identify and document the composition, phase constituents and chemical/electron state of the MSW ash to better understand its potential for exothermic reactivity when co-disposed with unburned MSW. Findings from the proposed program will offer the solid waste industry guidance on improved waste co-disposal acceptability to minimize the occurrence of elevated landfill temperature.
In order to achieve the objective and deliver beneficial understanding, the following goals have been set forth:
Examine the thermal response of MSW ash with respect to potential exothermic reaction (i.e., temperature and enthalpy) by using thermal gravimetric analysis (TGA) and differential scanning calorimetry (DSC)
Conduct spectroscopic analyses of MSW ashes to identify composition including minor impurity content, phase constituents and chemical/electronic state by using X-ray diffraction (XRD), X-ray fluorescence spectroscopy (XRF), secondary ion mass spectroscopy (SIMS) and X-ray photoelectron spectroscopy (XPS)
Develop and explore phase transformation/stability models based on thermodynamics to predict potential reactions and phase stability/transformations as functions of relevant environmental variables
Click here to view a PDF of the slides from the researchers’ project kickoff meeting held Feb. 13, 2019. Project kickoff meetings provide background on the researchers and project purpose, goals and methodology."
13;https://erefdn.org/evaluation-and-management-of-high-moisture-waste-disposal-in-municipal-solid-waste-landfills/;Evaluation and Management of High-Moisture Waste Disposal in Municipal Solid Waste Landfills;Colorado State University and the University of Virginia;November 1, 2018;235000;"Disposal of high moisture content wastes (HMWs), such as energy drilling wastes, sludges and bulked wastewaters, in municipal solid waste (MSW) landfills can adversely affect stability and gas and leachate transmission. These potential negative effects can be prevented by implementing disposal and management strategies that reflect the engineering characteristics of HMWs and MSW-HMW mixtures.
The proposed study will combine a thorough understanding of the engineering properties of HMWs and MSW-HMW mixtures with industry experience to develop recommendations for disposal and management practices. The researchers will:
Engage the industry to understand the current practices of HMW management and disposal
Quantify the effects of adding HMW to MSW on the hydraulic and mechanical behavior of the mixed waste
Establish simple and rapid field evaluation techniques for indexing shear strength and hydraulic conductivity of HMW and HMWs mixed with MSW
Develop guidance for disposal of HMW in MSW landfills to maintain landfill stability and gas and leachate transmission
Project Kickoff
Click here to view a PDF of the slides from the researchers’ project kickoff meeting held March 4, 2019. Project kickoff meetings provide background on the researchers and project purpose, goals and methodology."
14;https://erefdn.org/developing-high-yield-and-resilient-anaerobic-co-digestion-of-alternative-wastes/;Developing High-Yield and Resilient Anaerobic Co-Digestion of Alternative Wastes;North Carolina State University;October 1, 2018;155000;"Anaerobic digestion (AD) or co-digestion of alternative wastes (food waste, grease interceptor waste) provides the dual benefits of enabling the sustainable production of energy while providing an alternative disposal option for these ubiquitous wastes. The key to economically feasible AD of food wastes is maintaining high and stable methane yields under various loading and substrate conditions. However, the interactions between substrate variability (different food wastes, loading) and microbial community adaptations are not known, even though these directly impact start-up, loading rates, methane yields and process resilience and resistance. This is an important issue in full scale operation, since the collected food waste can vary in type, strength and characteristics on a seasonal, daily or per load basis.
The overall objective of this project is to develop optimal operation of anaerobic digestion of food waste, particularly to increase methane yields, and process resilience and resistance to varying waste types and loads. This will lead to operational procedures that can be used in full-scale implementation of AD of food wastes by municipal utilities and industry.
The specific objectives are to:
Develop an operational procedure for producing a high yield yet resilient/resistant anaerobic digestion system that can be used in full scale applications
Determine the highest yields for dry digestion and co-digestion of various types of food wastes and grease interceptor waste"
15;https://erefdn.org/development-of-test-methods-to-characterize-heat-production-from-special-wastes-disposed-in-landfills/;Development of Test Methods to Characterize Heat Production from Special Wastes Disposed in Landfills;North Carolina State University;September 2018;352000;"Recently, there have been reports of municipal solid waste (MSW) landfills that have been experiencing temperatures in excess of 80 °C. Elevated temperatures have a number of deleterious effects that are well known to landfill owners. Consequently, elevated temperature landfills often require increased monitoring and management. In recent work supported by EREF, the researchers developed a model of heat accumulation in a landfill. The objective of the model was to help identify and mathematically describe all sources of heat input, generation and loss in a typical Subtitle D landfill. The model simulations identified several reactions that contribute significant heat to landfills including the hydration and carbonation of calcium-containing wastes (e.g., ash) and aluminum corrosion. Model predictions however, were based on information adopted from the literature for systems other than landfills. In addition to MSW, many landfills receive non-hazardous industrial wastes including ash from both coal and MSW combustion, ash used to solidify liquid wastes, auto shredder residue (ASR) that contains Al and Fe, and perhaps other Al-containing wastes. Methods are needed to measure the heat production potential of such wastes under landfill-relevant conditions and to use the resulting heat production data to evaluate the quantity of a given waste that can be disposed without the accumulation of unacceptable heat.
The overall goal of the project is to estimate acceptable quantities of specific heat-producing wastes for disposal. The objectives are:
To develop laboratory methods to measure heat evolution from special wastes under landfill-relevant conditions
To measure rates of heat production to parameterize our heat accumulation model"
16;https://erefdn.org/gas-mapping-lidar-tracer-correlation-methods-landfill-methane-emissions-quantification/;Gas Mapping Lidar and Tracer Correlation Methods for Landfill Methane Emissions Quantification;Bridger Photonics and University of Delaware;April 2018;240000;"There is an established need to quantify methane emissions from landfills, driven primarily by Environmental Protection Agency (EPA) regulations. The EPA currently requires Method 21 for surface monitoring for controlled landfills and requires computational models for whole landfill emissions estimates, which determine tiers of regulation and remediation. However, Method 21 is time consuming and expensive, and whole landfill model input uncertainties and spatio-temporal variations can lead to considerable errors compared to actual emissions. A tracer correlation method (TCM), which represents the current state-of-the-art, can perform measurements under certain conditions, but it has critical limitations that have prevented its widespread adoption. The waste management industry therefore needs affordable and effective empirical methods to directly test and validate, or replace, computational models and Method 21 for whole-landfill and surface emission monitoring.
The overall goal of the project is to conduct an objective intercomparison between TCM and a new drone-based gas-mapping LiDAR (GML) method. The objectives are:
Develop methods for GML-based landfill emissions measurement.
Compare GML and Method 21 for landfill concentration mapping.
Compare GML and TCM methods during controlled release and landfill emissions tests.
Analyze data and report results."
17;https://erefdn.org/risks-food-waste-recovery-characterizing-contaminants-msw-organics-different-sources/;Risks of Food Waste Recovery: Characterizing the Contaminants in MSW Organics from Different Sources;University of Maine;April 2018;143000;"To approach a more sustainable food system in the United States, our system must become more energy, water and material-efficient. The ideal model is a circularized food system that eliminates waste by returning nutrients to agricultural soils while minimizing water and energy use. Movement toward organic waste recovery and nutrient recycling presents emergent risks that must be included in planning to ensure the safety of a more circular food system.
Different strategies for waste organics recovery produce materials of varying quality and energy content. The market value and social acceptance of the residuals depend on both the quality of the product, which is related to input material quality and processing, and the end-users’ trust in the product. With more organic material collected from mixed waste streams there is the possibility for new – unforeseen, unregulated and emergent – risks to arise.
The primary goal of this research is to identify the emergent risks associated with more cyclical food systems and to identify appropriate management procedures, policies and programs to reduce these risks. The objectives are:
To screen for contamination of input organic wastes (commingled and sorted organics from various sources) from three states with different regulatory environments ranging from mandated separation of organics to completely voluntary/subscription-based separation.
To survey a group of waste management practitioners and stakeholders to explore risk perceptions associated with various feedstocks and practices."
18;https://erefdn.org/detection-nuisance-odors-using-odor-binding-protein-sensor/;Detection of Nuisance Odors Using Odor Binding Protein Sensor;Florida Atlantic University;December 2017;150000;"Dealing with nuisance odor complaints is a key issue for solid waste facilities; however, current odor measurement techniques are subjective or largely inaccurate. A revolutionary new technology is needed so that the industry can better respond to odor issues with improved certainty and regulatory clarity, saving resources and repairing confrontational relationships with community neighbors. The goal is to develop a quantitative, non-subjective measurement technique for nuisance odors using human odorant binding protein 2A (OBP2A) or similar analog. The proposed biosensor technology has the potential to objectively and rapidly measure odor concentrations in real-time, transforming how nuisance odors are monitored and regulated. The primary objectives will be:
To test for individual odor concentration range for a set of specific odorants typically encountered at solid waste facilities.
To similarly test mixtures of odorants for their individual concentration ranges."
19;https://erefdn.org/renewable-energy-waste-study-landfill-gas-purification-hybrid-porous-materials/;Renewable Energy from Waste: A Study of Landfill Gas Purification by Hybrid Porous Materials;California State University, Long Beach;October 2017;125000;"Landfill gas (LFG) is generated during decomposition processes in municipal solid waste landfills. Converting LFG to energy (high-BTU gas, >96% CH4) has significant environmental and economic benefits. There is a critical need to reduce the cost and improve the efficiency of converting LFG to high-BTU gas. The goal of this study is to design a novel hybrid porous material with zeolitic imidazolates (i.e. metal organic sorbents) to purify CH4 from all impurity gases in a single processing step based on different molecular sizes. To achieve this goal, the primary objectives include:
To characterize the chemical composition and structure of zeolites.
Measure and calculate gas separation selectivity of CH4 with CO2, N2, O2, H2O, and H2S in equilibrium and kinetic conditions.
Perform layered adsorption for actual landfill gas purification."
20;https://erefdn.org/effects-aggressive-leachates-modified-geosynthetic-clay-liners-gcls/;Effects of Aggressive Leachates on Modified Geosynthetic Clay Liners (GCLs);Florida State University;October 2017;152105;"Municipal solid waste incinerator (MSW-I) residues are being co-landfilled in MSW landfills or mono-filled in several states in the U.S. When MSW is incinerated, the organic matter in the waste is combusted and converted into CO2, leaving the inorganic material in the MSW-ash. Leachates from these types of waste contain cations at concentrations of a few orders of magnitude higher than typical MSW leachate and can significantly affect the performance of geosynthetic clay liners (GCLs). GCLs are hydraulic barrier systems that have a very low hydraulic conductivity to prevent contamination of the surrounding ground water. The aggressive characteristics (e.g. high total dissolved solids, such as K+, Na+, Mg2+ Ca2+ and NH4+ of the MSW-I landfill leachates may alter the bentonite fabric and lead to unacceptable increase in hydraulic conductivity. To resist these high ionic strength leachates, polymer-modified bentonites (PMBs) GCLs containing a blend of Na-B and various polymers have been introduced in recent years; these GCLs are referred to as second generation GCLs. The performance data and design criteria from the first generation GCLs cannot be directly applied to the second generation of GCLs, as the first generation of GCLs cannot manage the increased contaminants in the leachate. To date, only a limited number of studies have been performed on polymer modified GCLs, and the effects of the aggressive leachates on the performance and design of the second generation GCLs have not been well understood.
The first objective of this study is to develop new alternative index tests, or criteria to predict the long-term hydraulic performance of the second generation GCLs. The second objective is to mechanistically understand how aggressive leachates like the MSW-I ash landfill leachate affect the performance of the second generation GCLs. The proposed study will also add more data to the literature on polymer modified GCLs."
21;https://erefdn.org/liner-systems-aggressive-coal-combustion-product-leachates/;Liner Systems for Aggressive Coal Combustion Product Leachates;George Mason University;October 2017;150000;"New regulations established for disposal of coal combustion products (CCPs) require that disposal facilities include a composite liner consisting of a geomembrane overlying a 0.6-m-thick clay liner. An economical alternative is to use of a geosynthetic clay liner (GCL) in lieu of the clay liner. Implementation of the new regulations has revealed a large number of waste streams from coal-fired power plants that generate leachates much more concentrated than those from historical coal-combustion wastes (5 M vs. 0.7 M). Preliminary tests show the currently available GCLs cannot retain these concentrated leachates. Finding GCL materials that can withstand these aggressive leachates is critical to prevent leachate from entering the groundwater. The overall objectives of the proposed study are:
Develop and evaluate new bentonite-polymer (B-P) composite GCL materials to manage aggressive leachates.
Understand key parameters that affect the hydraulic conductivity of B-P GCLs."
22;https://erefdn.org/effect-food-waste-diversion-leachate-quality/;Effect of Food Waste Diversion on Leachate Quality;North Carolina State University;March 2017;75000;"Approximately 19,500 million gallons of leachate was estimated to have been sent to a wastewater treatment plant (WWTP) in the U.S. in 2013. Landfill leachate increasingly requires pre-treatment because it contains high levels of refractory organic matter (ROM) and ammonia that could impact WWTP operations. ROM (i.e. humic- and fulvic-like substances) in leachate reduces the effectiveness of UV disinfection. As a result, WWTPs increasingly refuse to accept landfill leachate, pressuring landfill owners to explore costlier treatment alternatives.
Thus, understanding the sources of ROM and exploration of alternatives to reduce its presence in leachates are needed. Concurrent with the difficulty in treating leachate in WWTPs, the diversion of food waste from landfills is increasing. This diversion is motivated by several factors including responses to policies banning food waste disposal, reducing landfill methane emissions, and more efficient recovery and utilization of methane from anaerobic digesters. As the composition of the waste stream changes, changes to leachate quality can be expected.
The objectives of the study are:
To determine the effect of removing food waste from municipal solid waste (MSW) on leachate quality during waste decomposition under simulated landfill conditions
To characterize the compounds/moieties that absorb UV at 254 nm in samples of leachate produced in systems with and without food waste
It is hypothesized that food waste diversion will result in reduced ammonia and ROM since food waste is readily degradable and more easily solubilized, when compared to other MSW organics."
23;https://erefdn.org/comparative-microbiology-typical-elevated-temperature-landfills/;Comparative Microbiology of Typical and Elevated Temperature Landfills;University of Illinois, Chicago;March 2017;120000;"While the basic microbial processes of anaerobic decomposition in landfills have been well-known for decades, studies of microbial diversity using modern sequencing technologies, which make it possible to cheaply and efficiently catalog microbial diversity, are rare. Due to the current interest in elevated temperature landfills, the opportunity exists to study microbial ecology in tandem with multiphase geochemical indicators (gaseous, liquid, solid for major ions, metals, and dissolved inorganic and organic carbon) to address deviations from standard microbial processes. Landfills are largely unaffected by the heterogeneity of the waste, however, environmental heterogeneity provides a host of potential ecological functions that may be directly or indirectly contributing to the formation of “elevated temperature” conditions and the profile of gas compositions observed. The goal of this project is to aid in the determination of the causes and indications of elevated temperature landfill development, towards distinguishing between biotic and abiotic processes responsible.
The objectives are to:
Generate baseline microbiological data that can inform ongoing work
Identify metabolic genes that lend potential for atypical landfill function
Identify microbial processes that may yield the gas mixtures observed in elevated temperature landfills
Identify microbial processes that may directly/indirectly enhance the abiotic process rates driving elevated temperatures"
24;https://erefdn.org/mineralogy-optimization-metal-chloride-immobilization-co-disposed-flue-gas-desulfurization-brines-bituminous-coal-fly-ash/;Mineralogy Optimization for Metal and Chloride Immobilization in Co-Disposed Flue Gas Desulfurization Brines and Bituminous Coal Fly Ash;Georgia Institute of Technology;November 2016;195917;"The United States coal-fired power industry faces increasing demands to improve coal fly ash (CFA) and flue gas desulfurization (FGD) wastewater disposal practices. The zero liquid discharge (ZLD) options for FGD wastewater are attractive but the ZLD residuals present new challenge for the solid waste industry due to significant concentrations of mobile heavy metals and Cl-. We have developed a novel ZLD method by coupling brine concentration with a solidification/stabilization (S/S) process through co-disposing FGD brine with CFA and a pozzolanic agent. The immobilization of oxyanions (particularly SeVI) and Cl- by S/S of concentrated FGD brines and CFA from bituminous coal plants is most challenging.
Thus, this project aims to optimize the immobilization of SeVI, and Cl- in the co-disposed concentrated FGD brines and bituminous CFA (BCFA) by S/S. The specific research objectives are to (1) optimize oxyanion immobilization in concentrated FGD brine S/S with BCFA through a combination of chemical reduction and chemical incorporation in cement minerals, (2) evaluate BCFA S/S conditions including temperature, pH, CaO content, temperature, and reactive Al2O3 that promote chemical incorporation of oxyanions and Cl- in the AFm phase, (3) evaluate the stability of immobilized oxyanions and Cl- in short- and long-term leaching tests under varied conditions, and (4) optimize the impact of S/S solid mineralogy on oxyanion and Cl- stabilization over the short- and long-term.
Publications
Final Report"
25;https://erefdn.org/making-lost-time-space-quantifying-non-hazardous-industrial-waste-output-beneficial-use-opportunities-us/;Making up for Lost Time (and Space): Quantifying Non-hazardous Industrial Waste Output and Beneficial Use Opportunities in the US;Yale University;May 2016;150000;"Using non-hazardous industrial wastes (NHIW) as substitutes for virgin raw materials has the potential to provide environmental and economic benefits throughout the economy. Evaluating the nation-wide potential of this sustainable waste management strategy requires an assessment of the NHIW generation rate, the most recent of which dates to the mid-1980s. The proposed project will “make up for lost time (and space)” by filling this three-decade-old data gap. In so doing the project team will strengthen the path for the waste management industry to be a key facilitator of and participant in large-scale reuse and recycling of NHIW.
Key research objectives are:
To yield robust, up-to-date estimates of quantities and physiochemical properties of NHIW based on a sector-by-sector analysis of 14 major manufacturing sectors in the US;
To catalog demonstrated and newly identified material substitution and beneficial use pathways for high-tonnage NHIW categories within existing landfill footprints (as alternative cover and construction fill) and beyond; and
To codify methods for regular revision and update of NHIW estimates based on indirect data (i.e. other than directly-reported data on NHIW generation)."
